Date,Close,IVV_Position,Cash
2016/9/12,217.630005,100,978546
2016/9/13,214.470001,100,978546
2016/9/14,214.350006,100,978546
2016/9/15,216.520004,100,978546
2016/9/16,215.619995,100,978546
2016/9/19,215.729996,100,978546
2016/9/20,215.75,100,978546
2016/9/21,218.160004,100,978546
2016/9/22,219.5,100,978546
2016/9/23,218.350006,100,978546
2016/9/26,215.449997,100,978546
2016/9/27,216.759995,100,978546
2016/9/28,217.899994,100,978546
2016/9/29,215.940002,100,978546
2016/9/30,217.559998,100,978546
2016/10/3,216.889999,100,978546
2016/10/4,215.940002,100,978546
2016/10/5,216.889999,100,978546
2016/10/6,217.100006,100,978546
2016/10/7,216.25,100,978546
2016/10/10,217.339996,100,978546
2016/10/11,214.660004,100,978546
2016/10/12,214.929993,100,978546
2016/10/13,214.270004,100,978546
2016/10/14,214.289993,100,978546
2016/10/17,213.580002,100,978546
2016/10/18,214.899994,100,978546
2016/10/19,215.429993,100,978546
2016/10/20,215.059998,100,978546
2016/10/21,215.160004,100,978546
2016/10/24,216.110001,100,978546
2016/10/25,215.419998,100,978546
2016/10/26,214.970001,100,978546
2016/10/27,214.380005,100,978546
2016/10/28,213.75,100,978546
2016/10/31,213.690002,100,978546
2016/11/1,212.229996,100,978546
2016/11/2,210.899994,100,978546
2016/11/3,210.020004,100,978546
2016/11/4,209.669998,100,978546
2016/11/7,214.320007,100,978546
2016/11/8,215.309998,100,978546
2016/11/9,217.690002,100,978546
2016/11/10,218.119995,100,978546
2016/11/11,217.729996,100,978546
2016/11/14,217.789993,100,978546
2016/11/15,219.520004,100,978546
2016/11/16,219.240005,100,978546
2016/11/17,220.229996,100,978546
2016/11/18,219.789993,100,978546
2016/11/21,221.389999,100,978546
2016/11/22,221.759995,100,978546
2016/11/23,222,100,978546
2016/11/25,222.809998,100,978546
2016/11/28,221.830002,100,978546
2016/11/29,222.190002,100,978546
2016/11/30,221.529999,100,978546
2016/12/1,220.729996,100,978546
2016/12/2,220.910004,100,978546
2016/12/5,222.190002,100,978546
2016/12/6,222.990005,100,978546
2016/12/7,225.869995,100,978546
2016/12/8,226.410004,100,978546
2016/12/9,227.850006,100,978546
2016/12/12,227.570007,100,978546
2016/12/13,229.050003,100,978546
2016/12/14,227.320007,100,978546
2016/12/15,228.080002,100,978546
2016/12/16,227.729996,100,978546
2016/12/19,228.149994,100,978546
2016/12/20,229.050003,100,978546
2016/12/21,227.179993,100,978546
2016/12/22,226.850006,100,978546
2016/12/23,227,100,978546
2016/12/27,227.639999,100,978546
2016/12/28,225.770004,100,978546
2016/12/29,225.75,100,978546
2016/12/30,224.990005,100,978546
2017/1/3,226.580002,100,978546
2017/1/4,227.949997,100,978546
2017/1/5,227.740005,100,978546
2017/1/6,228.639999,100,978546
2017/1/9,227.899994,100,978546
2017/1/10,227.800003,100,978546
2017/1/11,228.410004,100,978546
2017/1/12,227.970001,100,978546
2017/1/13,228.389999,100,978546
2017/1/17,227.639999,100,978546
2017/1/18,228.080002,100,978546
2017/1/19,227.350006,100,978546
2017/1/20,228.100006,100,978546
2017/1/23,227.570007,100,978546
2017/1/24,228.960007,0,1001303
2017/1/25,230.820007,0,1001303
2017/1/26,230.75,0,1001303
2017/1/27,230.399994,0,1001303
2017/1/30,229.029999,0,1001303
2017/1/31,228.929993,0,1001303
2017/2/1,229.050003,0,1001303
2017/2/2,229.130005,0,1001303
2017/2/3,230.789993,0,1001303
2017/2/6,230.380005,0,1001303
2017/2/7,230.369995,0,1001303
2017/2/8,230.649994,0,1001303
2017/2/9,232,0,1001303
2017/2/10,232.910004,0,1001303
2017/2/13,234.199997,0,1001303
2017/2/14,235.139999,0,1001303
2017/2/15,236.339996,0,1001303
2017/2/16,236.220001,0,1001303
2017/2/17,236.490005,0,1001303
2017/2/21,237.919998,0,1001303
2017/2/22,237.779999,0,1001303
2017/2/23,237.970001,0,1001303
2017/2/24,238.259995,0,1001303
2017/2/27,238.630005,0,1001303
2017/2/28,238.029999,0,1001303
2017/3/1,241.220001,0,1001303
2017/3/2,239.830002,0,1001303
2017/3/3,239.970001,0,1001303
2017/3/6,239.270004,0,1001303
2017/3/7,238.570007,0,1001303
2017/3/8,238.089996,0,1001303
2017/3/9,238.320007,0,1001303
2017/3/10,239.149994,0,1001303
2017/3/13,239.289993,0,1001303
2017/3/14,238.440002,0,1001303
2017/3/15,240.389999,0,1001303
2017/3/16,240.080002,0,1001303
2017/3/17,239.589996,0,1001303
2017/3/20,239.279999,0,1001303
2017/3/21,236.259995,0,1001303
2017/3/22,236.779999,0,1001303
2017/3/23,236.520004,0,1001303
2017/3/24,235.389999,0,1001303
2017/3/27,235.050003,0,1001303
2017/3/28,236.779999,0,1001303
2017/3/29,237.130005,0,1001303
2017/3/30,237.729996,0,1001303
2017/3/31,237.270004,0,1001303
2017/4/3,236.869995,0,1001303
2017/4/4,236.979996,0,1001303
2017/4/5,236.279999,0,1001303
2017/4/6,236.899994,0,1001303
2017/4/7,236.679993,0,1001303
2017/4/10,236.850006,0,1001303
2017/4/11,236.550003,0,1001303
2017/4/12,235.589996,0,1001303
2017/4/13,234.029999,0,1001303
2017/4/17,236.059998,0,1001303
2017/4/18,235.350006,0,1001303
2017/4/19,234.940002,0,1001303
2017/4/20,236.729996,0,1001303
2017/4/21,236.130005,0,1001303
2017/4/24,238.639999,0,1001303
2017/4/25,240.050003,0,1001303
2017/4/26,239.949997,0,1001303
2017/4/27,240.089996,0,1001303
2017/4/28,239.559998,0,1001303
2017/5/1,240.220001,0,1001303
2017/5/2,240.309998,0,1001303
2017/5/3,240.070007,0,1001303
2017/5/4,240.229996,0,1001303
2017/5/5,241.259995,0,1001303
2017/5/8,241.169998,0,1001303
2017/5/9,240.990005,0,1001303
2017/5/10,241.380005,0,1001303
2017/5/11,240.940002,0,1001303
2017/5/12,240.570007,0,1001303
2017/5/15,241.789993,0,1001303
2017/5/16,241.589996,0,1001303
2017/5/17,237.339996,0,1001303
2017/5/18,238.190002,0,1001303
2017/5/19,239.860001,0,1001303
2017/5/22,241,0,1001303
2017/5/23,241.520004,0,1001303
2017/5/24,242.119995,0,1001303
2017/5/25,243.270004,0,1001303
2017/5/26,243.229996,0,1001303
2017/5/30,243.080002,0,1001303
2017/5/31,242.899994,0,1001303
2017/6/1,244.889999,0,1001303
2017/6/2,245.669998,0,1001303
2017/6/5,245.509995,0,1001303
2017/6/6,244.850006,0,1001303
2017/6/7,245.25,0,1001303
2017/6/8,245.320007,0,1001303
2017/6/9,244.940002,0,1001303
2017/6/12,244.910004,0,1001303
2017/6/13,246.110001,0,1001303
2017/6/14,245.839996,0,1001303
2017/6/15,245.380005,0,1001303
2017/6/16,245.179993,0,1001303
2017/6/19,247.389999,0,1001303
2017/6/20,245.779999,0,1001303
2017/6/21,245.679993,0,1001303
2017/6/22,245.600006,0,1001303
2017/6/23,245.850006,0,1001303
2017/6/26,246,0,1001303
2017/6/27,243.039993,0,1001303
2017/6/28,245.100006,0,1001303
2017/6/29,243.029999,0,1001303
2017/6/30,243.410004,0,1001303
2017/7/3,243.869995,0,1001303
2017/7/5,244.389999,0,1001303
2017/7/6,242.190002,0,1001303
2017/7/7,243.710007,0,1001303
2017/7/10,243.940002,0,1001303
2017/7/11,243.820007,0,1001303
2017/7/12,245.649994,0,1001303
2017/7/13,246.029999,0,1001303
2017/7/14,247.100006,0,1001303
2017/7/17,247.149994,0,1001303
2017/7/18,247.360001,0,1001303
2017/7/19,248.619995,0,1001303
2017/7/20,248.740005,0,1001303
2017/7/21,248.550003,0,1001303
2017/7/24,248.490005,0,1001303
2017/7/25,249.070007,0,1001303
2017/7/26,249.139999,0,1001303
2017/7/27,248.910004,0,1001303
2017/7/28,248.559998,0,1001303
2017/7/31,248.460007,0,1001303
